Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HT_Code,AT_Code,Outcome,GoalDifference,HomeShotEfficiency,AwayShotEfficiency,HomePossessionProxy,AwayPossessionProxy,total_goals
SP1,2011-03-03,Real Madrid,Malaga,7,0,H,3,0,H,20,5,13,1,18,14,5,2,1,2,0,1,27,22,1,7,0.35,0.0,7,-7,7
SP1,2011-05-03,Ath Madrid,Villarreal,3,1,H,1,1,D,16,8,6,2,19,7,11,2,3,3,0,0,3,37,1,2,0.19,0.12,8,3,4
SP1,2011-05-03,Barcelona,Zaragoza,1,0,H,1,0,H,23,3,12,1,9,12,13,2,1,1,0,0,4,39,1,1,0.04,0.0,27,-7,1
SP1,2011-05-03,Mallorca,Valencia,1,2,A,1,1,D,10,11,4,6,16,14,7,6,2,0,0,0,23,34,-1,-1,0.1,0.18,1,3,3
SP1,2011-06-03,Ath Bilbao,Sevilla,2,0,H,0,0,D,15,12,6,3,17,19,12,8,1,3,0,0,2,30,1,2,0.13,0.0,10,1,2
SP1,2011-06-03,Hercules,Almeria,1,2,A,0,0,D,13,8,3,6,11,12,4,1,3,4,0,0,16,1,-1,-1,0.08,0.25,6,-3,3
SP1,2011-06-03,Levante,Espanol,1,0,H,1,0,H,13,11,5,2,16,11,2,5,3,5,0,0,21,11,1,1,0.08,0.0,-1,5,1
SP1,2011-06-03,Malaga,Osasuna,0,1,A,0,0,D,20,15,4,4,20,25,6,8,0,6,0,0,22,26,-1,-1,0.0,0.07,6,-2,1
SP1,2011-06-03,Santander,Real Madrid,1,3,A,0,2,A,7,21,3,8,22,10,3,3,2,2,0,0,29,27,-1,-2,0.14,0.14,-12,14,4
SP1,2011-06-03,Sp Gijon,Getafe,2,0,H,2,0,H,16,12,4,0,20,15,8,1,2,4,1,0,32,12,1,2,0.12,0.0,4,-2,2
SP1,2011-07-03,La Coruna,Sociedad,2,1,H,1,0,H,14,5,3,2,9,9,6,2,2,1,0,0,18,31,1,1,0.14,0.2,11,-2,3
SP1,2011-12-03,Almeria,Ath Madrid,2,2,D,0,1,A,12,17,6,7,19,13,6,7,2,3,0,0,1,3,0,0,0.17,0.12,-1,11,4
SP1,2011-12-03,Real Madrid,Hercules,2,0,H,1,0,H,22,9,11,4,9,12,8,7,0,1,0,0,27,16,1,2,0.09,0.0,21,4,2
SP1,2011-12-03,Zaragoza,Valencia,4,0,H,2,0,H,9,3,6,1,17,20,1,3,2,2,0,1,39,34,1,4,0.44,0.0,-7,-14,4
SP1,2011-03-13,Espanol,La Coruna,2,0,H,0,0,D,13,6,6,2,12,19,9,5,2,2,0,1,11,18,1,2,0.15,0.0,10,-8,2
SP1,2011-03-13,Levante,Mallorca,1,1,D,1,0,H,8,15,2,7,11,7,4,6,4,2,0,0,21,23,0,0,0.12,0.07,1,14,2
SP1,2011-03-13,Osasuna,Santander,3,1,H,2,0,H,12,10,3,3,13,17,7,8,2,2,1,0,26,29,1,2,0.25,0.1,6,1,4
SP1,2011-03-13,Sevilla,Barcelona,1,1,D,0,1,A,11,12,3,6,20,11,0,4,5,2,0,0,30,4,0,0,0.09,0.08,-9,5,2
SP1,2011-03-13,Sociedad,Malaga,0,2,A,0,1,A,14,10,5,5,23,14,8,2,2,2,0,0,31,22,-1,-2,0.0,0.2,-1,-2,2
SP1,2011-03-13,Villarreal,Sp Gijon,1,1,D,1,0,H,12,14,3,5,13,14,4,2,2,2,0,2,37,32,0,0,0.08,0.07,3,2,2
SP1,2011-03-14,Getafe,Ath Bilbao,2,2,D,0,0,D,14,12,3,5,16,15,6,4,4,2,0,0,12,2,0,0,0.14,0.17,4,1,4
SP1,2011-03-19,Ath Madrid,Real Madrid,1,2,A,0,2,A,16,17,9,8,16,15,12,1,2,3,0,0,3,27,-1,-1,0.06,0.12,12,3,3
SP1,2011-03-19,Barcelona,Getafe,2,1,H,1,0,H,14,8,6,3,12,10,5,3,3,2,0,0,4,12,1,1,0.14,0.12,7,1,3
SP1,2011-03-19,Mallorca,Zaragoza,1,0,H,0,0,D,11,6,5,1,20,18,2,3,4,2,0,1,23,39,1,1,0.09,0.0,-7,-9,1
SP1,2011-03-20,Ath Bilbao,Villarreal,0,1,A,0,0,D,15,9,6,4,22,5,10,2,2,1,0,0,2,37,-1,-1,0.0,0.11,3,6,1
SP1,2011-03-20,Hercules,Osasuna,0,4,A,0,2,A,18,13,6,7,18,13,7,3,2,4,0,0,16,26,-1,-4,0.0,0.31,7,3,4
SP1,2011-03-20,La Coruna,Levante,0,1,A,0,0,D,11,20,3,6,15,8,6,6,2,2,0,0,18,21,-1,-1,0.0,0.05,2,18,1
SP1,2011-03-20,Malaga,Espanol,2,0,H,2,0,H,11,10,7,2,17,18,6,9,1,2,0,0,22,11,1,2,0.18,0.0,0,1,2
